,brand,color,color_group,gearbox,drive,fuel_type,city,city_group,base_model,car_class,mileage,power_1,power_2,model_popularity,age,generation,is_new,is_restyling,is_pro,is_max,is_premium,price
1171,Geely,зелёный,Холодные,робот,передний,Бензин,Москва,Москва,Preface,Sedan,21 000,2.0,190,21,2.0,1,False,1,0,0,0,3500000.0
1172,Chery,чёрный,Нейтральные,механика,передний,Бензин,Вербилки,Города-спутники,Very,Other,136 000,1.5,109,31,14.0,1,False,0,0,0,0,319000.0
1173,Chery,белый,Нейтральные,робот,полный,Бензин,Тимохово,Города-спутники,Tiggo,Other,118 706,2.0,197,270,2.0,1,False,0,1,1,0,1550000.0
1174,Geely,чёрный,Нейтральные,автомат,полный,Бензин,Исаково,Города-спутники,Atlas,SUV,18 378,2.0,200,132,1.0,2,False,0,0,0,0,2970000.0
1175,Geely,белый,Нейтральные,робот,передний,Бензин,Москва,Москва,Coolray,Crossover,15,1.5,172,124,1.0,1,False,1,0,0,0,2490000.0
1176,Geely,серый,Нейтральные,автомат,полный,Бензин,Москва,Москва,Monjaro,Crossover,5,2.0,238,319,0.0,1,False,1,0,0,1,3400000.0
1177,Geely,голубой,Холодные,робот,передний,Бензин,Москва,Москва,Icon,Other,1,1.5,181,80,1.0,1,False,0,0,0,0,2699999.0
1178,Geely,серый,Нейтральные,робот,передний,Бензин,Москва,Москва,Jiaji L,Other,10,1.5,181,54,1.0,1,False,1,0,0,0,2699999.0
1179,Geely,серебристый,Нейтральные,автомат,полный,Бензин,Москва,Москва,Monjaro,Crossover,5,2.0,238,319,1.0,1,False,1,0,0,1,3590000.0
1180,Geely,чёрный,Нейтральные,автомат,полный,Бензин,Москва,Москва,Monjaro,Crossover,10,2.0,238,319,0.0,1,False,1,0,0,1,3830000.0
1181,Geely,серебристый,Нейтральные,автомат,полный,Бензин,Москва,Москва,Monjaro,Crossover,10,2.0,238,319,0.0,1,False,1,0,0,1,3830000.0
1182,Geely,белый,Нейтральные,робот,передний,Бензин,Москва,Москва,Boyue Cool,Other,5 000,1.5,174,47,1.0,1,False,0,0,0,0,1750000.0
1183,Geely,серый,Нейтральные,робот,передний,Бензин,Москва,Москва,Icon,Other,10,1.5,181,80,1.0,1,False,0,0,0,0,2699999.0
1184,Geely,белый,Нейтральные,робот,передний,Бензин,Москва,Москва,Icon,Other,1,1.5,181,80,1.0,1,False,0,0,0,0,2699999.0
1185,Geely,фиолетовый,Экзотические,робот,передний,Бензин,Московский,Города-спутники,Coolray,Crossover,3 000,1.5,174,124,3.0,1,False,1,0,0,0,1600000.0
1186,Geely,зелёный,Холодные,автомат,полный,Бензин,Москва,Москва,Monjaro,Crossover,10,2.0,238,319,0.0,1,False,1,0,0,1,3750000.0
1187,Geely,серебристый,Нейтральные,робот,передний,Бензин,Москва,Москва,Coolray,Crossover,10,1.5,147,124,1.0,1,False,1,0,0,0,2400000.0
1188,Chery,Ultra Black,Нейтральные,робот,передний,Бензин,Балашиха,Московская область,Arrizo,Sedan,0,1.6,150,19,1.0,1,True,0,0,0,0,2317000.0
1189,Geely,серый,Нейтральные,робот,передний,Бензин,Москва,Москва,Cityray,Other,42,1.5,147,61,1.0,1,False,0,0,0,0,2245000.0
1190,Geely,зелёный,Холодные,автомат,полный,Бензин,Москва,Москва,Monjaro,Crossover,36,2.0,238,319,0.0,1,False,1,0,0,1,4050000.0
1191,Chery,серебристый,Нейтральные,механика,передний,Бензин,Москва,Москва,Tiggo,Other,72 000,1.5,152,270,5.0,1,False,0,0,0,0,649000.0
1192,Geely,жёлтый,Тёплые,автомат,передний,Бензин,Москва,Москва,Atlas,SUV,10 000,1.5,177,132,3.0,1,False,0,1,0,0,1386000.0
1193,Chery,серый,Нейтральные,вариатор,передний,Бензин,Москва,Москва,Tiggo,Other,81 758,1.5,113,270,3.0,1,False,1,0,0,0,1046000.0
1194,Chery,чёрный,Нейтральные,робот,полный,Бензин,Москва,Москва,Tiggo,Other,6 128,1.6,150,270,1.0,1,False,1,1,1,0,2457000.0
1195,Geely,серебристый,Нейтральные,робот,передний,Бензин,Москва,Москва,Coolray,Crossover,26 500,1.5,150,124,4.0,1,False,0,0,0,0,1850000.0
1196,Chery,белый,Нейтральные,робот,полный,Бензин,Тимохово,Города-спутники,Tiggo,Other,118 706,2.0,197,270,2.0,1,False,0,1,1,0,1550000.0
1197,Chery,серебристый,Нейтральные,робот,передний,Бензин,Королёв,Московская область,Tiggo,Other,16 000,1.5,147,270,3.0,1,False,0,1,0,0,1840000.0
1198,Geely,белый,Нейтральные,робот,передний,Бензин,Москва,Москва,Boyue Cool,Other,5 000,1.5,174,47,1.0,1,False,0,0,0,0,1750000.0
1199,Geely,серый,Нейтральные,робот,передний,Бензин,Москва,Москва,Jiaji L,Other,10,1.5,181,54,1.0,1,False,1,0,0,0,2699999.0
1200,Geely,серебристый,Нейтральные,автомат,полный,Бензин,Москва,Москва,Monjaro,Crossover,5,2.0,238,319,1.0,1,False,1,0,0,1,3590000.0
1201,Geely,белый,Нейтральные,робот,передний,Бензин,Москва,Москва,Icon,Other,1,1.5,181,80,1.0,1,False,0,0,0,0,2699999.0
1202,Geely,серебристый,Нейтральные,автомат,полный,Бензин,Москва,Москва,Monjaro,Crossover,10,2.0,238,319,0.0,1,False,1,0,0,1,3830000.0
1203,Geely,голубой,Холодные,робот,передний,Бензин,Москва,Москва,Icon,Other,1,1.5,181,80,1.0,1,False,0,0,0,0,2699999.0
1204,Geely,синий,Холодные,робот,полный,Бензин,Одинцово,Московская область,Atlas,SUV,58 000,1.5,177,132,3.0,1,False,0,1,0,0,2100000.0
1205,Geely,зелёный,Холодные,автомат,полный,Бензин,Москва,Москва,Monjaro,Crossover,10,2.0,238,319,0.0,1,False,1,0,0,1,3750000.0
1206,Geely,серый,Нейтральные,робот,передний,Бензин,Москва,Москва,Cityray,Other,42,1.5,147,61,1.0,1,False,0,0,0,0,2245000.0
1207,Haval,чёрный,Нейтральные,робот,передний,Бензин,Москва,Москва,Jolion,Crossover,18 693,1.5,143,32,2.0,1,False,0,0,0,0,1688000.0
1208,Geely,синий,Холодные,автомат,передний,Бензин,Москва,Москва,Emgrand,Sedan,1 267,1.5,122,31,2.0,2,False,0,0,0,0,1790000.0
1209,Chery,серебристый,Нейтральные,механика,передний,Бензин,Москва,Москва,Tiggo,Other,72 000,1.5,152,270,5.0,1,False,0,0,0,0,649000.0
1210,Geely,жёлтый,Тёплые,автомат,передний,Бензин,Москва,Москва,Atlas,SUV,10 000,1.5,177,132,3.0,1,False,0,1,0,0,1386000.0
1211,Geely,зелёный,Холодные,автомат,полный,Бензин,Москва,Москва,Monjaro,Crossover,36,2.0,238,319,0.0,1,False,1,0,0,1,4050000.0
1212,Chery,чёрный,Нейтральные,робот,полный,Бензин,Москва,Москва,Tiggo,Other,6 128,1.6,150,270,1.0,1,False,1,1,1,0,2457000.0
1213,Haval,чёрный,Нейтральные,робот,передний,Бензин,Москва,Москва,Jolion,Crossover,18 693,1.5,143,32,2.0,1,False,0,0,0,0,1688000.0
1214,Geely,зелёный,Холодные,робот,передний,Бензин,Москва,Москва,Preface,Sedan,21 000,2.0,190,21,2.0,1,False,1,0,0,0,3500000.0
1215,Haval,чёрный,Нейтральные,робот,полный,Бензин,Москва,Москва,F7,Luxury SUV,41 500,2.0,190,21,2.0,1,False,1,0,0,0,3094415.0
1216,Chery,чёрный,Нейтральные,механика,передний,Бензин,Вербилки,Города-спутники,Very,Other,136 000,1.5,109,31,14.0,1,False,0,0,0,0,319000.0
1217,Chery,белый,Нейтральные,робот,полный,Бензин,Тимохово,Города-спутники,Tiggo,Other,118 706,2.0,197,270,2.0,1,False,0,1,1,0,1550000.0
1218,Geely,чёрный,Нейтральные,автомат,полный,Бензин,Исаково,Города-спутники,Atlas,SUV,18 378,2.0,200,132,1.0,2,False,0,0,0,0,2970000.0
1219,Geely,белый,Нейтральные,робот,передний,Бензин,Москва,Москва,Coolray,Crossover,15,1.5,172,124,1.0,1,False,1,0,0,0,2490000.0
1220,Geely,серый,Нейтральные,автомат,полный,Бензин,Москва,Москва,Monjaro,Crossover,5,2.0,238,319,0.0,1,False,1,0,0,1,3400000.0
1221,Geely,голубой,Холодные,робот,передний,Бензин,Москва,Москва,Icon,Other,1,1.5,181,80,1.0,1,False,0,0,0,0,2699999.0
1222,Geely,серый,Нейтральные,робот,передний,Бензин,Москва,Москва,Jiaji L,Other,10,1.5,181,54,1.0,1,False,1,0,0,0,2699999.0
1223,Geely,серебристый,Нейтральные,автомат,полный,Бензин,Москва,Москва,Monjaro,Crossover,5,2.0,238,319,1.0,1,False,1,0,0,1,3590000.0
1224,Geely,чёрный,Нейтральные,автомат,полный,Бензин,Москва,Москва,Monjaro,Crossover,10,2.0,238,319,0.0,1,False,1,0,0,1,3830000.0
1225,Geely,серебристый,Нейтральные,автомат,полный,Бензин,Москва,Москва,Monjaro,Crossover,10,2.0,238,319,0.0,1,False,1,0,0,1,3830000.0
1226,Geely,белый,Нейтральные,робот,передний,Бензин,Москва,Москва,Boyue Cool,Other,5 000,1.5,174,47,1.0,1,False,0,0,0,0,1750000.0
1227,Geely,серый,Нейтральные,робот,передний,Бензин,Москва,Москва,Icon,Other,10,1.5,181,80,1.0,1,False,0,0,0,0,2699999.0
1228,Geely,белый,Нейтральные,робот,передний,Бензин,Москва,Москва,Icon,Other,1,1.5,181,80,1.0,1,False,0,0,0,0,2699999.0
1229,Geely,фиолетовый,Экзотические,робот,передний,Бензин,Московский,Города-спутники,Coolray,Crossover,3 000,1.5,174,124,3.0,1,False,1,0,0,0,1600000.0
1230,Geely,зелёный,Холодные,автомат,полный,Бензин,Москва,Москва,Monjaro,Crossover,10,2.0,238,319,0.0,1,False,1,0,0,1,3750000.0
